CP;Concello;Superficie
15006;Arzúa;155.5
15010;Boimorto;82.3
15066;Pino. O;132.1
15085;Touro;115.3
15011;Boiro;86.6
15067;Pobra do Caramiñal. A;32.5
15072;Rianxo;58.8
15073;Ribeira;68.8
15007;Baña. A;98.2
15056;Negreira;115.1
15014;Cabana de Bergantiños;100.2
15019;Carballo;186.1
15029;Coristanco;141.3
15041;Laracha. A;126.0
15040;Laxe;36.8
15043;Malpica;61.2
15068;Ponteceso;92.0
15003;Aranga;119.6
15009;Betanzos;24.2
15026;Cesuras;79.5
15027;Coirós;33.9
15032;Curtis;116.6
15039;Irixoa;68.6
15048;Miño;33.0
15063;Oza dos Ríos;72.1
15064;Paderne;39.8
15091;Vilarmaior;30.3
15090;Vilasantar;59.2
15001;Abegondo;83.8
15005;Arteixo;93.7
15008;Bergondo;32.7
15017;Cambre;40.7
15021;Carral;48.0
15030;Coruña. A;37.8
15031;Culleredo;61.7
15058;Oleiros;43.7
15075;Sada;27.5
15015;Cabanas;30.3
15018;Capela. A;58.0
15050;Monfero;171.7
15069;Pontedeume;29.3
15070;Pontes de García Rodríguez. As;249.4
15004;Ares;18.3
15022;Cedeira;85.4
15035;Fene;26.3
15036;Ferrol;82.7
15049;Moeche;48.5
15051;Mugardos;12.8
15054;Narón;66.9
15055;Neda;24.5
15076;San Sadurniño;99.0
15081;Somozas. As;70.9
15087;Valdoviño;88.2
15023;Cee;57.5
15028;Corcubión;6.5
15034;Dumbría;125.2
15037;Fisterra;29.4
15052;Muxía;121.2
15020;Carnota;70.9
15053;Muros;72.9
15042;Lousame;93.6
15057;Noia;37.2
15062;Outes;99.7
15071;Porto do Son;94.6
15024;Cerceda;111.3
15038;Frades;81.6
15047;Mesía;107.1
15059;Ordes;157.2
15060;Oroso;72.6
15084;Tordoia;124.6
15086;Trazo;101.3
15901;Cariño;47.2
15025;Cerdido;52.7
15044;Mañón;82.2
15061;Ortigueira;210.0
15002;Ames;80.0
15012;Boqueixón;73.2
15013;Brión;74.9
15078;Santiago de Compostela;220.0
15082;Teo;79.3
15088;Val do Dubra;108.6
15089;Vedra;52.8
15033;Dodro;36.1
15065;Padrón;48.4
15074;Rois;92.8
15046;Melide;101.3
15079;Santiso;67.4
15080;Sobrado;120.6
15083;Toques;77.9
15016;Camariñas;51.6
15092;Vimianzo;187.3
15093;Zas;133.3
15045;Mazaricos;187.3
15077;Santa Comba;203.7
